start_label,type,end_label,counts,new_type,reverse_node_labels
Anatomy,capable_of,Biological Process,123,site_of,
Anatomy,capable_of_part_of,Biological Process,121,site_of,
Anatomy,contains_process,Biological Process,27,site_of,
Anatomy,output_of,Biological Process,18,produces,True
Anatomy,site_of,Biological Process,13,site_of,
Anatomy,simultaneous_with,Biological Process,11,site_of,
Anatomy,part_of,Biological Process,11,site_of,
Anatomy,regulates,Biological Process,10,,
Anatomy,participates_in,Biological Process,8,site_of,
Anatomy,functionally_related_to,Biological Process,4,,
Anatomy,positively_regulates,Biological Process,1,,
Anatomy,negatively_regulates,Biological Process,1,,
Anatomy,has_part,Cell Type,227,part_of,True
Anatomy,composed_primarily_of,Cell Type,86,part_of,True
Anatomy,part_of,Cell Type,7,,
Anatomy,surrounds,Cell Type,6,part_of,True
Anatomy,produced_by,Cell Type,4,,
Anatomy,channel_for,Cell Type,4,,
Anatomy,develops_from,Cell Type,2,,
Anatomy,bounding_layer_of,Cell Type,2,,
Anatomy,synapsed_by,Cell Type,1,,
Anatomy,has_potential_to_developmentally_contribute_to,Cell Type,1,,
Anatomy,extends_fibers_into,Cell Type,1,,
Anatomy,adjacent_to,Cell Type,1,,
Anatomy,has_part,Cellular Component,43,part_of,True
Anatomy,composed_primarily_of,Cellular Component,26,part_of,True
Anatomy,surrounds,Cellular Component,3,,
Anatomy,is_a,Cellular Component,2,,
Anatomy,located_in,Cellular Component,1,,
Anatomy,has_component,Cellular Component,1,,
Anatomy,adjacent_to,Cellular Component,1,,
Anatomy,site_of,Disease,26805,site_of,
Anatomy,has_part,Molecular Function,1,site_of,
Anatomy,site_of,Phenotype,1840,site_of,
Biological Process,results_in_development_of,Anatomy,587,produces,
Biological Process,results_in_morphogenesis_of,Anatomy,340,produces,
Biological Process,results_in_formation_of,Anatomy,174,produces,
Biological Process,occurs_in,Anatomy,61,site_of,True
Biological Process,results_in_maturation_of,Anatomy,53,produces,
Biological Process,results_in_structural_organization_of,Anatomy,28,produces,
Biological Process,results_in_growth_of,Anatomy,20,produces,
Biological Process,has_input,Anatomy,8,site_of,True
Biological Process,results_in_transport_across,Anatomy,7,site_of,True
Biological Process,results_in_specification_of,Anatomy,4,produces,
Biological Process,transports_or_maintains_localization_of,Anatomy,2,produces,
Biological Process,results_in_transport_to_from_or_in,Anatomy,2,site_of,True
Biological Process,has_target_start_location,Anatomy,2,site_of,True
Biological Process,has_target_end_location,Anatomy,2,site_of,True
Biological Process,has_participant,Anatomy,2,site_of,True
Biological Process,results_in_transport_along,Anatomy,1,site_of,True
Biological Process,results_in_developmental_progression_of,Anatomy,1,produces,
Biological Process,results_in_assembly_of,Anatomy,1,produces,
Biological Process,mediated_by,Anatomy,1,,
Biological Process,has_start_location,Anatomy,1,site_of,True
Biological Process,has_output,Anatomy,1,produces,
Biological Process,has_end_location,Anatomy,1,site_of,True
Biological Process,associated_with,Biological Process,2606,,
Biological Process,results_in_acquisition_of_features_of,Cell Type,299,produces,
Biological Process,occurs_in,Cell Type,136,capable_of,True
Biological Process,results_in_development_of,Cell Type,99,produces,
Biological Process,results_in_movement_of,Cell Type,86,,
Biological Process,acts_on_population_of,Cell Type,83,capable_of,True
Biological Process,results_in_commitment_to,Cell Type,57,produces,
Biological Process,has_input,Cell Type,57,capable_of,True
Biological Process,has_participant,Cell Type,28,capable_of,True
Biological Process,results_in_specification_of,Cell Type,26,produces,
Biological Process,results_in_determination_of,Cell Type,25,produces,
Biological Process,mediated_by,Cell Type,25,capable_of,True
Biological Process,results_in_maturation_of,Cell Type,15,produces,
Biological Process,results_in_formation_of,Cell Type,14,produces,
Biological Process,results_in_morphogenesis_of,Cell Type,9,produces,
Biological Process,results_in_growth_of,Cell Type,5,produces,
Biological Process,transports_or_maintains_localization_of,Cell Type,4,,
Biological Process,has_target_start_location,Cell Type,4,,
Biological Process,has_target_end_location,Cell Type,3,,
Biological Process,has_start_location,Cell Type,3,,
Biological Process,has_end_location,Cell Type,3,,
Biological Process,has_primary_input_or_output,Compound,12970,part_of,True
Biological Process,has_primary_output,Compound,11232,part_of,True
Biological Process,has_primary_input,Compound,7821,part_of,True
Biological Process,transports_or_maintains_localization_of,Compound,3430,part_of,True
Biological Process,has_input,Compound,1497,part_of,True
Biological Process,imports,Compound,910,part_of,True
Biological Process,regulates_level_of,Compound,245,part_of,True
Biological Process,has_output,Compound,166,part_of,True
Biological Process,exports,Compound,152,part_of,True
Biological Process,has_intermediate,Compound,140,part_of,True
Biological Process,has_participant,Compound,19,part_of,True
Biological Process,mediated_by,Compound,8,part_of,True
Biological Process,associated_with,Disease,1827775,associated_with,
Biological Process,causes,Disease,25,associated_with,
Biological Process,has_primary_input_or_output,Drug,1075,part_of,True
Biological Process,has_primary_output,Drug,931,part_of,True
Biological Process,has_primary_input,Drug,696,part_of,True
Biological Process,transports_or_maintains_localization_of,Drug,308,part_of,True
Biological Process,has_input,Drug,306,part_of,True
Biological Process,imports,Drug,79,part_of,True
Biological Process,has_output,Drug,26,part_of,True
Biological Process,has_participant,Drug,10,part_of,True
Biological Process,exports,Drug,10,part_of,True
Biological Process,has_intermediate,Drug,7,part_of,True
Biological Process,regulates_level_of,Drug,6,part_of,True
